,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
22,342,"text1: I'm enjoying life and my primo from Mexico msges me “hola prima te estás perdiendo de la fiesta,” like damn you trying to get me all depri lol

text2: Pulled zhongli with the primo gems i saved up😅

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,a
23,128,"text1: lotte stop beep beeping me challenge

text2: i need to vent bc holy shit txt are literally monster roookies wtf i'm watching runaway from the lotte family concert and you can tell their mics are fucking ON, ESPECIALLY TAEHYUN like, you can hear the inhales and the exhales as they sing, and you can hear near the +

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,a,a,a,b,b,a,a,a
24,360,"text1: Eah this dairy needs to be cancelled how'd you not have banana primo lmao

text2: uhm should i roll or save my primo for the next banner?? HELPPP

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,b
25,249,"text1: posting a video recount on Youtube now

text2: .@LindseyGrahamSC we need a recount in South Carolina and Texas. Every vote must be counted. Don't you agree?

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,a,a,a,a,a
26,287,"text1: Will Chu, Deliveroo's founder said “People are fundamentally lazy. And given he opportunity to be lazier, they will be.” Some of my more experienced drivers recount orders were “people pretty much live upstairs from the restaurant.” This laziness is at our expense

text2: WAPO Trump lost by &gt;6MM votes He lost &gt;30 legal rulings in multi states He failed in every recount challenge He lost tries to block certification He's losing tries to get states to throw out the results He's losing GOP allies He's losing lawyers as they quit SO MUCH LOSING

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,b,a,b,b,a,a,a
27,107,"text1: lotte is snoring so loud. baby

text2: I dont think lotte found my face hehehe

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,b,a,a,a
28,379,"text1: My primo @Chrismalooo saving my ass right now with this kijiji info.. rims+winter tires for 600$ dont fkn mind if I do!

text2: 4 mins before Zhongli banner but I don't have any primo left 🤧😰

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,a,a,a
29,6,"text1: I embrace impostor syndrome. Heck yes I will fool all of you into thinking I was good at art with my vicious use of reference, frivolous photobashing, generous 3D bases and ruthless studying of masters. I will trick all of you, myself included.

text2: Just had my first games of Among Us. First three rounds were as the impostor and I somehow won each of them? @krak_on_gaming what happened?

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
30,151,"text1: As a Peanuts' fan, I think I need to go to lotte

text2: lowkey looks like lotte world jk?? his hair is wet 😧

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,a,a,a,b,a,a,a,b
31,183,"text1: lotte bottled barley tea is strong as fuck lol

text2: when's the lotte family concert?

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,a,a,a,b,b,a,a,a
32,43,"text1: In one of my classes we have to proofread each other's resumes. Are they just trying to give us impostor syndrome or what?

text2: We played javkbox and i was alien twice ( basically impostor in amoun us ) and i won both time ❤️

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
33,90,"text1: Waiting for something epic to materialize can be missed if you forget that ""epic"" things usually happen as the accumulation of the mundane. Reminding myself to enjoy the journey, or rather, the meetings, the Slacks, the Zooms, the uncertainty, the peek-a-boo impostor syndrome...

text2: if your name is “13” in among us and you were the color red and we played 5 rounds together and you were the one who lied for me the entire game and let me get away with being the impostor HI BESTIE COME BACK I MISS YOU

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,b,a,b
34,69,"text1: ah yes the impostor syndrome

text2: i just a tiktok impostor (hyunjin) k words crewmate (felix) by breaking his neck you undertsand the rest right

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,a
35,8,"text1: I can't believe impostor syndrome just tried to equate the tattoo I'm about to get that symbolizes something I studied for 3.5 years + graduated with a 1.7 in to trying a sport once and getting a tattoo about it, just because I'm sort of mediocre at the actual subject

text2: damn I was in a game of among us and I was SURE red did it like I saw red kill pink but hen red wasn't the impostor??? wtf my mother did suspect I am mildly colorblind 😪

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
36,96,"text1: you know what would be great? to not have crippling impostor syndrome in every single aspect of my life

text2: I can't be the only one who doesn't mind being a crew mate right being impostor is stressful

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,a,a,a,a,b
37,354,"text1: ""what's your preference?"" ""Your tia, primo."" Ohhhhh touché

text2: when a genshin impact player had a kid ""what's your kid's name?"" ""primo"" ""is that short for primitivo?” ""no it's short for primogems""

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
38,326,"text1: 19.5kg down and 12.5kg to go to pre-baby weight! But the number on the scales isn't my concern, I just wanna be strong and happy. (Although below pre-baby weight would be primo). I'm loving being back at the gym 🥰

text2: Brace yourself, primo positivo in azienda is coming

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
39,227,"text1: That's bullshit. I demand a recount! #DWTS

text2: FUCK!! Shes literally 17! SEVENTEEN!!! The characters perspective of things/how we at that age process things so differently, how warped and extreme we experience life/recount memories.... + whatever effect the drugs are doing. It's fucking mindblowing #Euphoria #EuphoriaHBO

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,b,a,a,b
40,368,"text1: Yeosang that one primo showing off he can dance

text2: idk what best of next is but yay cravity yay allencito mi primo😋

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,a
41,347,"text1: How to get the new skin of primo @PitBullFera ?

text2: more than 120 primo???? SWEET

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,b,a,a
42,38,"text1: reject impostor syndrome no one cares you're here at the table &amp; if they do it's temporary everything is

text2: i've played like 9 games of among us and i've not been impostor once what the fuck

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,b,a,a,a,b,a,a,a,b
43,95,"text1: You may wonder why I, an experienced editor, am worried about taking an editing test. The answer is, what if I'm actually not good at this thing that I chose to do for a living specifically bc I was good at it? That's impostor syndrome, baby!!

text2: There should be a hide and seek mode in among us You can't report a body or sabotage anything Set impostor view distance really low (high for crewmate) The impostor has to find/kill everyone The last person alive will wins

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,a,a,a,b
44,14,"text1: Have you ever been given more responsibility or start a new role and just kind of... freak out. Like impostor syndrome on 100? Like who am I? How did I get here? Are you suuuuuuure you want ME to do this? Nope? Just me? Ok.

text2: ""well well well, it looks like the student has become the master"" @yiannna proclaimed, thinking that she had caught me red-handed after i ended the life of a crewmate, but what she did not know is that her arrogance would lead to her eventual demise in a flawless impostor victory

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,b,b,b,a,a,b
45,84,"text1: Homies gonna say they have impostor syndrome. But they're not actually good enough to have impostor syndrome. Ya, it's me. I'm Sherlock Holmes.

text2: these impostor videos are actually getting millions of views literally just lie

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
46,173,"text1: cant stop thinking about jaws the lotte iced drink

text2: how jennie endorses a lotte product but they don't perform in their concerts 🤨

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,a,a,b
47,104,"text1: If y'all ever go to korea pls know that lotte isn't just lotte world 😭

text2: oh to cosplay lotte and akko from little witch academia

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,b,b,a,b
48,36,"text1: Twt game (Pisay ver.) 1.) 27 2.) 3.) 5.) huh 6.) marami 7.) k**** 8.) neither 9.) intern 10.) '24 and '25 11.) si ex-crush(?) 12.) MAY (campus) n Unholy Trinity (inter) 13.) AKO 14.) the pisay contract 15.) ""di ako yung impostor"" Like and I'll send the questions :D

text2: col keep predicting the right impostor... zzzzzz

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,a,b,a,a,a,b,a,b
49,325,"text1: HBD to the A1 day 1! @JChavira21 have a good one primo! Plan a trip to midland with your pops sometime! Stay up! 👊🏽

text2: Landing primo is so scary

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,a
50,53,"text1: Can someone tell me who replaced Andy Robertson with this impostor and where the real one is please?!

text2: Facebook writing groups are bad for learning, but great for curing impostor syndrome! 🤓

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
51,76,"text1: How to live with impostor syndrome; asking for a friend of course.

text2: “Yeah and then you killed me and I wasn't the impostor.”

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,b,a,b
52,334,"text1: The cousins that keep telling me to get on WhatsApp are the first ones that would hit me on there talking bout “primo, la cosa esta floja ahora mismo, te veo moviendo pa ya, mandame cien dollaritos por fa.” Meanwhile they're on El Malecon everyday on the IG living their best life

text2: n e wayz primo farming again for december hoping i can make it

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,b,a,a,b
53,122,"text1: Someone bring bts lotte duty free song on my tl

text2: Wholesome memory, but I remember jisoo mc-ing with v at sbs gayo, and jisoo waved and interacted with armys and she was so shocked when k-armys screamed for her after 😭 and how when bp's perf was cut off at lotte, karmys waved at jisooagain and she waved back eye-

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,b,a,a,a,b,b,b,a,a
54,123,"text1: I'll cry I love char lotte :(

text2: me when me hayley n jay go to lotte world and everland

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,a,a,a,b,a,b,a,a
55,68,"text1: Why doesn't Justin Trudeau have impostor syndrome?

text2: If Buhari is truly dead, Nigeria has even bigger issues. Who is running the country? An impostor? Why was this not made known to the public? What the actual fuck? These politicians really have fooled us all

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,a,b,a,a,a,b,b,b,b,a,b
56,63,"text1: **me, panicking** “Wait! Is it imposter syndrome or impostor syndrome??!”

text2: If you quit after being voted off as impostor you are the lowest of the low

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,a
57,77,"text1: This certain rotomdex episode, I wanna talk about it! The episode where rotom gets separated from his pokedex. He encounters another rotom and rotemdex(less) Gets stuck in this conveniently shaped washing machine, whoops. Now the impostor is in the dex. (continue in thread)

text2: worst impostor play ever @claudeandclair

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
58,270,"text1: .@finneas did you get extra points for singing more than one song for your word association for Elle, if not I demand a recount. That's such a Gryffindor thing to do.

text2: i want a recount on my spotify wrapped

word: recount",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,b,a,b
59,142,"text1: don't lie • - like 2/3 years ago • - a few months ago • - nah • - never ✌ • - like one • - c • - w • - nah • - lotte sjdh hi love • - nope • - nah hun • - on the cheek yes ofc 😔✌ drop an emoji and i'll send you the questions

text2: i still haven't watched lotte stages 🙃

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,b,a,b,a,b
60,191,"text1: in lotte market and orange caramel is playing . Thank u

text2: lrt HAHAHAHAHAH jihoon you genius lotte fan

word: lotte",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,b,a,a,a,b,a,a,a,a
61,11,"text1: He is such an impostor.

text2: gw crewmate &amp; impostor terOP

word: impostor",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,a,a,a,a,a,a,a,a,a,b
62,358,"text1: Kickback with the primo playing would be dope for my bday , too bad I work 😑

text2: Who's buying that $mph dip? That's a primo buy, with just under a 5 Mil Market Cap! $sfi $dai $ethy #defi

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
63,322,"text1: Niggas think I'm coming uptown tonight hace frio primo

text2: I remember I seen a nigga roll up a blunt in a black and mild... I feel like if you doing this you doing primo too

word: primo",Different,"
    
If a linguist considered the word above in text1 and text2, would she consider the meaning of this word to be the
A: Same
B: Different

Constraint: Answer with only the option above that is most accurate and nothing else.",b,a,b,b,a,a,a,a,b,a,a,a,b
