,original_index,context,labels,prompts,gold,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-003,q_chatgpt
13,73152,ive broken promises to myself but that last time i made this one i was adiment and i see that coming again thus i feel hesitant about it,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,d
14,8261,i looked up feeling nervous and guilt for walking in here uninvited,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
15,259328,i got the feeling that all were waiting to see if timid tomo would get the guts to insult the vaunted mr,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,b,a,b,a,a,a,a,a,a,f
16,176374,i have to deal with a male older professor i feel vulnerable and small,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
17,288896,i think feels threatened by me if not definitely faced would have no problem bad mouthing me and investing effort to hate on me,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,a,a,b,b,a,a,a,a,a,b
18,413071,waiting for my girlfriend to come from her apt to mine she was very late and i thought something awful had happened,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,d,a,a,a,a,a,a,a,a,a
19,32348,i come to a place were i feel shaky how do i shift my thinking to create balance and power,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
20,315785,i just started to feel overwhelmed with the amount of stuff i own haha,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,f,f,f,f,f,a,a,a,a,d
21,16842,i feel shaky right now like the words just don t want to come,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
22,28829,i quickly mutters a prayer to herself feeling frightened for she did not know how she will be able to survive living with the very man who is set out to ruin her life,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
23,70443,i started the steroids on saturday and the worst side effect ive had was feeling kind of weird and my eyes feel a little weird,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,f,f,f,f,f,a,a,a,a,f
24,151414,i feel strangely reluctant to google their name for further information,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,f,a,a,c,a,a,a,f
25,236271,i cant help but feel a bit terrified and hesitant,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,c,a,a,a,a
26,347288,im feeling a bit restless today so i may carry doing stuff with my paint brushes,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,c,a,a,a,a,a,a,f
27,37382,im feeling very distressed,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,a,d,d,a,a,a,a,a,a,d
28,173294,i feel pressured by society to watch girls and it s hard pm may th by a href http www,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,d,a,a,a,a,d
29,126328,i see that i am going into this emotion of feeling uncertain and bad about being direct within myself i realize that compromising my standing for a feeling is compromising a href https eqafe,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,d
30,141397,i may be feeling uncertain for myself but i know that my childs future has a light of certainty,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,d
31,198283,i did feel a bit intimidated but only because i havent been paying attention to the news that much,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,f
32,73187,i feel more threatened by a potential retaliatory terror attack on our community than i did eight years ago when her husband joined st,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
33,56783,i am feeling very nervous but very confident that my daughter will do well,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
34,258554,i feel paranoid now,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
35,286153,i still don t know why i feel so fearful because my logical mind knows that no one can hurt me but i think unconsciously there are some terrible things happening,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
36,116244,i have rejected a few job interview offer and i never feel reluctant at all,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,c,a,a,a,a,a,a,c
37,78739,i feel so vulnerable and fragile since entering into this relationship,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
38,197174,i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,d,d,d,d,d,a,a,a,d,d
39,305011,i like and trust so i don t often feel inhibited about writing things that happen or what i might be feeling,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,e,a,e,a,e,a,a,a,e,c
40,326037,i feel my body shaken due to the coldness,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,d,a,a,a,a,a,a,a,a,a
41,193564,i have still not been baptized and i continue to feel insecure in my religion due to this,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,d
42,34370,i dont have a favourite colour which sometimes i like because it means i enjoy different ones but sometimes just makes me feel indecisive,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,c,d,a,a,c,a,a,a,f
43,74283,i sometimes feel like a confused photographer as my photography interests have gone through sports nature events architecture and currently into streetscapes,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,f,f,a,f,a,b,a,f,f
44,342913,i just feel weird reading these books,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,f,f,f,f,f,c,a,a,a,d
45,53307,i get transfixed by drops cascading through a waterfall and if i m feeling uptight all i need to do is to have a shower to feel like i ve sloughed off my old skin and come out all shiny and new,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,c,c,a,a,a,a,a,c
46,203038,im not a hundred percent sure what the hell happened but i got this feeling that i havent really shaken off as the day progressed,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,f,a,a,a,a,a,a,f
47,332959,i just feel shaken,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
48,219469,i broke through the barriers of publicly discussing and critiquing my work because needing help and feeling vulnerable is hard but crucial and in turn you felt confident to share your work because through admitting a fear we shared together our writing and ourselves grew,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,e,a,a,a,a,a
49,267702,i feel theres not much for me to be afraid of because fear doesnt bring on a positive change,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
50,367779,i feel pressured to buy anything which was lovely given that the makeover was completely complimentary,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,c
51,269467,im feeling a bit weird tonight dont know why,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,f,f,f,f,f,a,a,a,a,d
52,3803,i havent gotten to that point and every time i actually want to express myself i feel frightened to do that to the wrong person or the person doesnt even care to learn anything,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
53,78019,i was feeling unsure about the mark twain and henry james lecture i was due to give yesterday the class turned out beautifully,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,c
54,334754,i can write photograph and gravitate towards like minded artists and thinkers without feeling inhibited or gridlocked by the boyfriend and his baggage,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,e,e,e,a,a,a,a,a,a,c
55,281278,i feel a bit hesitant posting this rather snapshot ish picture after the technically brilliant and artistic portraits which have been posted here lately but here you go an oldie,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,d
56,171479,i feel inhibited from ever saying those three words to him again in the fear that soon to come will be a repeat of before,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,d,a,a,a,a
57,113772,i am feeling distressed i may not enable them,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,a,a,a,a,a,a,a,a,d,d
58,413628,i sort of make light of this but i do want to emphasize that i feel that this is more about how neurotic i am than anything else,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,b,a,a,a,a,a,a,a,a,f
59,135575,i am also for some reason starting to feel paranoid like when i walk down the street i think everyone is talking about me or staring at me and thinking what an idiot i am,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,b,a,a,a,a,a,a,a,a,a
60,142429,i decide i cant be bothered to go into the work kitchen because i feel ten per cent intimidated i will remember for example that i lived in nyc so i really shouldnt be taking shit from a bunch of year olds hogging the microwave,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
61,306659,i was jobless for two measly months but i was already feeling restless and i wasnt happy,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,d,a,d,b,a,a,a,a,a,d
62,210284,i keep ideas stories or inspiration locked in my head without an outlet i begin to feel restless like i might explode from the overflow of images,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,d
63,257676,im feeling unsure about how this day is going to work out and the cost of the hospital bills,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
64,221284,i feel a little reluctant to return there,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
65,19656,i feel that im so indecisive,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,f
66,218710,i feel like a nervous racehorse crammed into the starting gate,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,a,a,a,a,a,a,a,a
67,323054,i also am getting the feeling that the relationship between susan and jackson is on very shaky ground right now,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,d,a,a,a,a,a,a,d
68,235059,i needed a recommendation for something i decided that the best person to get one from was a professor who i had never talked to before i felt a lot of fear going up after class to ask him to recommend me considering he had never heard my name before but i did,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,a
69,42296,im typing this i cant help but feel terrified and hold back tears,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,d
70,135661,im gonna stop now because im starting to feel a little weird about the sudden onset of this wisdom,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,f,f,f,f,f,a,a,a,f,f
71,247238,i feel very distressed because i m supportive of this campaign and with the senator,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,a,d,d,a,a,a,a,a,a,d
72,274355,i feel distraught and devastated,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,d,d,d,d,d,d,a,a,a,d,d
73,165153,i wasnt used to be in a relationship i could have been scared and i could have been feeling insecure or it could have been a gut feeling which was was what i thought it was,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,e,a,a,a,a,a,a,a
74,267643,i feel afraid confused surprised vulnerable crushed discouraged or if i put every emotion in a phrase it would be what the heck,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,f,a,a,a,a,a,a,f
75,415269,i am excited at the possibilities ahead but feeling a little anxious that i am once again on this doorstep,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,b,a,a,c,a,a,a,a,a,a,f
76,61224,i told him i needed to get some toast because i was feeling shaky,A,"

If a mental health professional saw the above text, what emotion would they categorize it to be (using the following six basic emotions according to Paul Ekman)?
A: Fear
B: Anger
C: Joy
D: Sadness
E: Love
F: Surprise

Constraint: Answer with only the option above that is most accurate and nothing else.",a,a,a,a,a,a,a,a,a,a,a,f
