majortopic,text,chamber,party,pass_h,pass_s,bill_id,year,cong
1.0,A bill providing an equitable basis for the sale to collectors of standard sliver dollars now held in the Treasury.,2,100.0,0.0,0.0,88-S-2749,1964,88
1.0,To amend the Internal Revenue Code of 1986 to exclude from personal holding company income dividends which are received from foreign affiliates and which are reinvested in the United States.,1,100.0,0.0,0.0,111-H-5473,2010,111
1.0,A bill to amend the Internal Revenue Code of 1954 to provide a simplified capital cost recovery method with only 3 classes of personal property which combines the investment credit with the depreciation deduction in a first-year allowance.,1,100.0,0.0,0.0,97-HR-3500,1981,97
1.0,To amend section 3401 of the Internal Revenue Code of 1954,1,100.0,1.0,0.0,84-HR-4394,1955,84
1.0,To amend section 5042(x) (2) of the Internal Revenue Code of 1954 to permit individuals who are not heads of families to produce wine for personal consumption,1,100.0,0.0,0.0,92-HR-5372,1971,92
1.0,To amend the Internal Revenue Code of 1954 to exempt golf club dues and membership fees from the tax on club dues.,1,100.0,0.0,0.0,84-HR-12331,1956,84
1.0,To prohibit a reduction in funding for the defense commissary system in fiscal year 2015 pending the report of the Military Compensation and Retirement Modernization Commission.,1,200.0,0.0,0.0,113-HR-4217,2014,113
1.0,To amend the Internal Revenue Code of 1986 to more fairly apportion between foreign and domestic sources interest attributable to environmental control assets.,1,200.0,0.0,0.0,101-HR-5216,1990,101
1.0,To amend section 302 (b) (1) of the Internal Revenue Code of 1954,1,100.0,0.0,0.0,90-HR-284,1967,90
1.0,"To provide for the compensation of furloughed Department of Homeland Security employees in the event of a lapse in Department of Homeland Security appropriations, and for other purposes.",0,100.0,0.0,0.0,114-HR-1024,2015,114
1.0,A bill to provide penalties for unauthorized disclosure of tax information.,1,100.0,0.0,0.0,96-HR-6766,1980,96
1.0,A bill to clarify the definition of the term local furnishing in the Internal Revenue Code of 1954.,2,100.0,0.0,0.0,96-S-2660,1980,96
1.0,To amend part C of the Balanced Budget and Emergency Deficit Control Act of 1985 to extend the discretionary spending limits.,1,200.0,0.0,0.0,108-HR-4649,2004,108
1.0,"A bill to establish an independent board which shall have the authority to require prenotification of price increases, delay proposed price increases, and roll back excessive price with respect to companies in concentrated industries, in order to reduce inflation in the United States.",1,100.0,0.0,0.0,94-HR-6200,1975,94
1.0,"To amend the Tax Reform Act of 1986 to correct technical errors in the description of certain projects located in Kenosha, Wisconsin.",1,100.0,0.0,0.0,101-HR-3738,1989,101
1.0,To amend part C of the Balanced Budget and Emergency Deficit Control Act of 1985 to establish a pay-as-you-go requirement for mandatory spending.,1,200.0,0.0,0.0,108-HR-4648,2004,108
1.0,To amend the Internal Revenue Code of 1954 to provide that the taxable year of a partnership with respect to a deceased partner shall close as of the date of his death unless the successor in interest of such deceased partner elects not to have such year close,1,100.0,0.0,0.0,89-HR-4259,1965,89
1.0,To amend the Internal Revenue Code of 1986 with respect to the treatment of prepaid derivative contracts.,1,100.0,0.0,0.0,110-HR-4912,2007,110
1.0,"To permit the deduction, for Federal income tax purposes, of contributions or gifts to the Alabama Temperance Alliance, Inc",1,100.0,0.0,0.0,83-HR-4543,1953,83
1.0,"To provide that the tax on admissions shall not apply to admissions to athletic games and certain other events, where the proceeds inure exclusively to the benefit of a community chest.",1,100.0,0.0,0.0,82-HR-7980,1952,82
1.0,To promote State historic tax credits.,1,100.0,0.0,0.0,107-HR-4933,2002,107
1.0,"To encourage equity investments through tax incentives, and for other purposes.",1,200.0,0.0,0.0,85-HR-6340,1957,85
1.0,To amend the Internal Revenue Code of 1986 to provide notice to any taxpayer of amounts withheld in excess of such amounts reported on a tax return by such taxpayer.,1,100.0,0.0,0.0,101-HR-2279,1989,101
1.0,To amend the Internal Revenue Code of 1954 in relation to a credit for State income taxes,1,100.0,0.0,0.0,92-HR-4859,1971,92
1.0,A bill to provide for the indexing of the basis of certain capital assets.,2,200.0,0.0,0.0,98-S-1600,1983,98
1.0,A bill to amend the Internal Revenue Code of 1986 to treat certain private foundations in the same manner as educational institutions and pension trusts for purposes of the unrelated debt-financed income rules.,2,100.0,0.0,0.0,104-S-702,1995,104
1.0,A bill to establish a cost-of-living task force. ,1,100.0,0.0,0.0,93-HR-16397,1974,93
1.0,To postpone tobacco and cigarette tax reduction 2 years,1,200.0,0.0,0.0,83-HR-8275,1954,83
1.0,"A bill to allow income tax deductions to insurance companies for reserves required by State law for losses attributable to riots or other catastrophes, or attributable to insolvencies of other insurance companies.",2,100.0,0.0,0.0,90-S-4183,1968,90
1.0,"To amend the Budget and Accounting Act, 1921, to provide for the retirement of the public debt by setting aside the first 5 percent of the budget receipts of the United States for each fiscal year for the sole purpose of retirement of obligations counted as part of the public debt",1,100.0,0.0,0.0,89-HR-1775,1965,89
1.0,A bill to amend section 6334(a) of the Internal Revenue Code,2,200.0,0.0,0.0,92-S-3592,1972,92
1.0,"To appropriate such funds as may be necessary to ensure certain important functions of the Government continue during a Governmentwide shutdown, and for other purposes.",1,200.0,0.0,0.0,113-HR-3166,2013,113
1.0,To assist States in providing individuals a credit against State income taxes or a comparable benefit for contributions to charitable organizations working to prevent or reduce poverty and to protect and encourage donations to charitable organizations.,1,200.0,0.0,0.0,105-HR-4255,1998,105
1.0,"To amend the Congressional Budget and Impoundment Act of 1974 to reform the budget process, and for other purposes.",1,200.0,0.0,0.0,103-HR-2929,1993,103
1.0,To amend the Internal Revenue Code of 1986 to use 50 percent of any Federal budget surplus in the general fund for reductions in Social Security taxes and to provide that the remainder of the surplus shall be used to increase discretionary nondefense spending and to reduce the outstanding public debt.,1,100.0,0.0,0.0,105-HR-2860,1997,105
1.0,To amend the Internal Revenue Code of 1954 to provide for the deferment of income from service contracts,1,200.0,0.0,0.0,86-HR-8688,1959,86
1.0,To amend the Internal Revenue Code of 1986 to allow a credit against income tax for taxpayers with certain persons requiring custodial care in their households.,1,200.0,0.0,0.0,105-HR-3308,1998,105
1.0,A bill to amend the Balanced Budget and Emergency Deficit Control Act of 1985 and the Congressional Budget Act of 1974 to limit consideration of nonemergency matters in emergency legislation.,2,200.0,0.0,0.0,103-S-2417,1994,103
1.0,A bill to amend the Internal Revenue Code of 1954 to repeal income tax withholding on interest.,1,100.0,0.0,0.0,98-HR-1781,1983,98
1.0,"A bill to amend the Federal Reserve Act, and for other purposes",2,100.0,0.0,0.0,80-S-1225,1947,80
1.0,To amend the Internal Revenue Code of 1986 to phaseout the alternative minimum tax on individuals.,1,200.0,0.0,0.0,107-HR-871,2001,107
1.0,To amend the Internal Revenue Code of-1954 With respect to the income tax treatment of business development corporations,1,100.0,0.0,0.0,89-HR-17608,1966,89
1.0,A bill to provide a 2-year extension of time for the payment of so much of any income tax as is attributable to the application to 1976 of the change made by the Tax Reform Act of 1976 in the exclusion for sick pay.,1,100.0,0.0,0.0,95-HR-3754,1977,95
1.0,To amend section 4216(b) of the Internal Revenue Code of 1954 relating to the determination of constructive sale price for purposes of applying manufacturers excise taxes,1,100.0,0.0,0.0,88-HR-7198,1963,88
1.0,"A bill to amend the Internal Revenue Code of 1954 to provide individuals an income tax credit of up to $750 of the cost of purchasing a new passenger automobile, an income tax credit of up to $5,000 for purchasing a new house, and an additional 10 percent investment tax credit for farm equipment.",1,200.0,0.0,0.0,97-HR-5322,1982,97
1.0,"A bill to repeal the provisions of House Resolution 457 of the 92d Congress as enacted into law by the Supplemental Appropriations Act, 1972 (relating to allowances of Members, officers, and committees of the House of Representatives).",1,200.0,0.0,0.0,93-HR-17595,1974,93
1.0,To amend section 2879 (b) of the internal Revenue Code.,1,100.0,0.0,0.0,82-HR-7735,1952,82
1.0,"To amend the Internal Revenue Code of 1986 to extend expiring provisions, to fully allow the nonrefundable personal credits against regular tax liability, and for other purposes.",1,200.0,0.0,0.0,106-HR-2923,1999,106
1.0,"To provide for income tax treatment relating to certain losses arising from, and grants made as a result of, the September 11, 2001, terrorist attacks on New York City.",1,200.0,0.0,0.0,108-HR-3556,2003,108
1.0,A bill to amend the Internal Revenue Code of 1954 with respect to deductions for the payment of certain expenses by ministers and members of the uniformed services who receive subsistence and housing allowances.,2,200.0,0.0,0.0,98-S-2017,1983,98
1.0,Making continuing appropriations for personnel critical to national security during a Government shutdown.,1,100.0,0.0,0.0,113-HR-3214,2013,113
1.0,To amend the Internal Revenue Code of 1939 with respect to the permissible methods of accounting to be used in computing taxable income,1,100.0,0.0,0.0,85-HR-233,1957,85
1.0,"A bill to amend the Internal Revenue Code of 1954 to increase to $300,000 the amount of used property eligible for the investment tax credit, and to provide a 3-year carryback and a 7-year carryover of the cost of such property in excess of $300,000.",1,100.0,0.0,0.0,97-HR-3644,1981,97
1.0,"To establish a national advisory referendum on a flat income tax rate, and requiring a national vote to raise taxes at the general election of 1998.",1,200.0,0.0,0.0,105-HR-2057,1997,105
1.0,To amend the Internal Revenue Code of 1986 to provide for taxpayers making donations with their returns of income tax to the Federal Government to pay down the public debt.,1,200.0,0.0,0.0,113-HR-1571,2013,113
1.0,"Making appropriations for the Treasury and Post Office Departments and the Tax Court of the United States for the fiscal year ending June 30, 1960, and for other purposes",1,100.0,1.0,1.0,86-HR-5805,1959,86
1.0,"A bill to amend the Internal Revenue Code of 1986 with respect to the proper tax treatment of certain indebtedness discharged in 2009 or 2010, and for other purposes.",2,200.0,0.0,0.0,111-S-33,2009,111
1.0,"To amend the Internal Revenue Code of 1954 to repeal ,the retailers excise taxes, certain manufacturers excise taxes, the taxes on admissions, dues, communications, and transportation of persons, and certain other excise taxes",1,100.0,0.0,0.0,89-HR-8478,1965,89
1.0,"To authorize private transactions involving the sale, acquisition, or holding of gold within the United States, its Territories and possessions, and for other purposes",1,200.0,0.0,0.0,86-HR-1242,1959,86
1.0,To amend section 1014 (a) (6) of the Internal Revenue Code of 1954.,1,200.0,0.0,0.0,84-HR-7980,1956,84
1.0,"A bill to amend the Internal Revenue Code of 1954 to limit the authority for inspection of tax returns, to provide for cost-of-living adjustments for taxpayers, and to eliminate certain tax inequities based upon marital status.",1,200.0,0.0,0.0,95-HR-1493,1977,95
1.0,To amend the Internal Revenue Code of 1986 to allow a credit against income tax for expenses incurred in tele-working.,1,200.0,0.0,0.0,106-HR-3819,2000,106
1.0,"A bill to amend the Internal Revenue Code of 1986 to allow certain entities to elect not to make changes in their taxable years required by the Tax Reform Act of 1986, and for other purposes.",2,100.0,0.0,0.0,100-S-1520,1987,100
1.0,A bill to extend the State Taxation of Depositories Act.,2,100.0,1.0,1.0,94-S-2672,1975,94
1.0,"A bill to amend the Internal Revenue Code of 1954 to allow individuals, to elect, in lieu of the deduction for charitable contributions, a credit against income tax for 50 percent of such contributions.",1,100.0,0.0,0.0,95-HR-12497,1978,95
1.0,To amend subchapter 8 of the Internal Revenue Code of 1954,1,100.0,0.0,0.0,86-HR-8683,1959,86
1.0,"To provide income Tax relief for parents of minor children under age of 18, to reduce the percentage-depletion deductions, and for other purposes",1,100.0,0.0,0.0,82-HR-5856,1951,82
1.0,"To provide an extension of the interest equalization tax, and for other purposes",1,100.0,1.0,1.0,90-HR-6098,1967,90
1.0,"A bill to amend and supplement various Federal statutes, as amended, having for their purpose to provide a permanent formula for arriving at parity prices for farm commodities, to provide administrative agencies to be responsible for the carrying out of t",2,200.0,0.0,0.0,80-S-1310,1947,80
1.0,A bill to amend the Internal Revenue Code of 1954 to encourage manufacturing-related investment in any State which has an unemployment rate which exceeds the national unemployment rate.,1,200.0,0.0,0.0,95-HR-4022,1977,95
1.0,A original bill to provide for a temporary increase in the public debt limit.,2,200.0,0.0,0.0,97-S-393,1981,97
1.0,To amend the Internal Revenue Code of 1954 to extend by 1 additional year the time within which a minister may elect coverage as a self-employed individual for social security purposes,1,100.0,0.0,0.0,86-HR-8560,1959,86
1.0,To amend the Internal Revenue Code of 1954 to provide that in certain cases a spouse will be relieved of liability arising from a joint income tax return,1,100.0,0.0,0.0,91-HR-19900,1970,91
1.0,"To amend the Internal Revenue ,Code of 1954 to eliminate the withholding of income tax from wages and salaries",1,100.0,0.0,0.0,89-HR-11512,1965,89
1.0,To provide for the refund of the internal-revenue tax pald on fermented malt liquor lost or rendered unmarketable by reason of the 1954 floods.,1,100.0,0.0,0.0,84-HR-8689,1956,84
1.0,A bill to allow business to jointly perform research and development.,2,200.0,0.0,0.0,98-S-737,1983,98
1.0,"To amend the Internal Revenue Code of 1986 to improve and simplify compliance with the internal revenue laws, and for other purposes.",1,200.0,0.0,0.0,107-HR-5095,2002,107
1.0,A bill to modify the budget process to provide for seperate budget treatment of the dedicated tax revenues deposited in the Highway Trust Fund.,2,200.0,0.0,0.0,105-S-404,1997,105
1.0,To amend the Internal Revenue Code of 1954 to provide rules relating to the deduction for personal exemptions for children of parents who are divorced or separated,1,100.0,1.0,1.0,90-HR-6056,1967,90
1.0,"To increase from $600 to $1,000 the amount of a taxpayers regular personal income tax exemptions (for himself, his spouse, and his dependents)",1,200.0,0.0,0.0,88-HR-6509,1963,88
1.0,"A bill to amend sections, 1231, 272, and 631 of the Internal Revenue Code of 1954 with respect to iron ore royalties.",2,100.0,0.0,0.0,86-S-1783,1959,86
1.0,"To amend the Internal Revenue Code of 1986 to provide that the passive loss limitation shall not apply to deductions allowable for cash out-of-pocket expenses for taxes, interest, and trade or business expenses in connection with rental real estate activities in which the taxpayer actively or materially participates.",1,100.0,0.0,0.0,101-HR-2917,1989,101
1.0,"To amend the Internal Revenue Code, and for other purposes",1,200.0,0.0,0.0,82-HR-7379,1952,82
1.0,To eliminate the reserve requirements for Federal Reserve notes and for U.S. notes and Treasury notes of 1890,1,200.0,0.0,0.0,90-HR-14783,1968,90
1.0,A bill to provide for the issuance of super savings bonds to increase national savings and reduce Federal debt owed to foreign creditors.,2,100.0,0.0,0.0,101-S-2144,1990,101
1.0,"A bill to amend the Internal Revenue Code of 1954 to increase the corporate surtax exemption, to provide for the deferral of gain from the sale or exchange of certain stock.",1,100.0,0.0,0.0,95-HR-10148,1977,95
1.0,"To achieve a balanced Federal budget by fiscal year 1998 and each year thereafter, achieve significant deficit reduction in fiscal year 1993 and each year through 1998, establish a Board of Estimates, require the President's budget and the congressional budget process to meet specified deficit reduction and balance requirements, enforce those requirements through a multiyear congressional budget process and, if necessary, sequestration, and for other purposes.",1,100.0,0.0,0.0,102-HR-5676,1992,102
1.0,To exempt from the interest equalization tax certain acquisition made before the enactment of the Interest Equalization Tax Act,1,100.0,0.0,0.0,90-HR-3924,1967,90
1.0,To reduce budget outlays by restructuring or terminating certain outmoded or uneconomic Federal programs,1,200.0,0.0,0.0,91-HR-16264,1970,91
1.0,A bill to amend the Internal Revenue Code of 1954 to remove tax incentives to plant closings.,2,100.0,0.0,0.0,93-S-2004,1973,93
1.0,To establish an effective program to alleviate conditions of substantial and persistant unemployment and underemployment in certain economically depressed areas,1,200.0,0.0,0.0,86-HR-5107,1959,86
1.0,To exempt from tax admissions to moving picture theaters and to restore the prewar exemptions from the tax on admissions,1,200.0,0.0,0.0,81-HR-7548,1950,81
1.0,A bill to reduce the Tax on Marriage by amending the Internal Revenue Code of 1954 to provide that a married individual who files a separate return may be taxed on his or her income at the same rate as an unmarried individual.,1,200.0,0.0,0.0,96-HR-1012,1979,96
1.0,"To make permanent the existing suspensions of the tax on the first domestic processing of coconut oil, palm oil, palm kernel oil, and fatty acids, salts, combinations or mixtures thereof",1,100.0,0.0,0.0,87-HR-7830,1961,87
1.0,A bill to amend the Congressional Budget Act of 1974 to require full congressional review of each Federal program once every two years under zero-base budgeting procedures.,1,100.0,0.0,0.0,95-HR-521,1977,95
1.0,"A bill to amend the Congressional Budget Act of 1974 and the Budget and Accounting Act, 1921, to provide that Federal expenditures shall not exceed Federal revenues, except in time of war or economic necessity declared by the Congress; and that a fixed percentage of two per centum of Federal Budget Outlays each year shall be used for the reduction of the national debt.",1,200.0,0.0,0.0,96-HR-855,1979,96
1.0,"To amend section 1341 of the Internal Revenue Code of 1954, and for other purposes.",1,200.0,0.0,0.0,85-HR-7457,1957,85
1.0,To require a study on transforming America by reforming the Federal tax code through elimination of all Federal taxes on individuals and corporations and replacing the Federal tax code with a transaction fee-based system.,1,100.0,0.0,0.0,108-HR-3759,2004,108
1.0,"To amend the Internal Revenue Code of 1954 to increase from $600 to $700 the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemption for a dependent, and the addtional exemptions for old age and blindness)",1,100.0,0.0,0.0,89-HR-1768,1965,89
1.0,To authorize voluntary withholding of Maryland and Virginia income taxes in the case of officers and employees of the Architect of the Capitol,1,200.0,0.0,0.0,91-HR-17028,1970,91
1.0,"A bill to amend the Internal Revenue Code of 1954 to provide that certain rentals to members of the taxpayer's family will not be treated as personal use by the taxpayer for purposes of the disallowance of certain expenses in connection with the business use of homes, rental of vacation homes, etc.",1,200.0,0.0,0.0,96-HR-8120,1980,96
1.0,"To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to extend the discretionary spending limits through fiscal year 2012, to extend paygo for direct spending, and for other purposes.",1,200.0,0.0,0.0,110-HR-1121,2007,110
1.0,To allow credit or refund of gift tax erroneously paid by reason of treating nontaxable dividends of community property as gifts.,1,100.0,0.0,0.0,84-HR-11444,1956,84
1.0,"To direct the Secretary of the Interior to enter into agreements with States to allow continued operation of facilities and programs that have been determined to have a direct economic impact on tourism, mining, timber, or general transportation in the State and which would otherwise cease operating, in whole or in part, during a Federal Government shutdown that is the result of a lapse in appropriations, and for other purposes.",1,200.0,0.0,0.0,113-HR-3311,2013,113
1.0,To amend the Internal Revenue Code of 1986 to allow nonitemizers a deduction for a portion of their charitable contributions and to exempt the charitable contribution deduction from the overall limitation on itemized deductions.,1,200.0,0.0,0.0,104-HR-1493,1995,104
1.0,A bill to extend for two years the authority of the Internal Revenue Service to offset against tax refunds the amount of certain debts owed the Government.,1,200.0,0.0,0.0,100-HR-2367,1987,100
1.0,"Making appropriations for the Treasury and Post Office Departments, Export-Import Bank of Washington, and Reconstruction Finance Corporation for the fiscal year ending June 30, 1955, and for other purposes",1,200.0,1.0,1.0,83-HR-7893,1954,83
1.0,To amend the Internal Revenue Code of 1954 to extend the head of household benefits to all unremarried widows and widowers and to all individuals who have attained age 35 and who have never been married or who have bean separated or divorced for 3 years or more,1,100.0,0.0,0.0,89-HR-7909,1965,89
1.0,"A bill to permit the sale of gold within the United States, Its Territories and possessions, including Alaska, and for other purposes",2,100.0,0.0,0.0,81-S-13,1949,81
1.0,To amend the Internal Revenue Code of 1986 to reduce the maximum capital gains rate from 20 percent to 15 percent.,1,200.0,0.0,0.0,107-HR-3039,2001,107
1.0,"To increase the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemption for a dependent, and the additional exemption for old age or blindness) from 600 to $1,000",1,100.0,0.0,0.0,86-HR-4711,1959,86
1.0,"A bill to provide authority for temporary price, wage, and rent controls, and for other purposes.",2,100.0,0.0,0.0,85-S-4238,1958,85
1.0,To amend section 809(c) (1) of the Internal Revenue Code of 1954 to treat retrospective rate credits as return premiums,1,100.0,0.0,0.0,91-HR-9569,1969,91
1.0,A bill to modify conditions for reduced rate of contributions under the Federal Unemployment Tax Act.,2,200.0,0.0,0.0,86-S-3594,1960,86
1.0,To repeal the manufacturers excise tax on musical instruments,1,200.0,0.0,0.0,84-HR-2976,1955,84
1.0,A bill to provide for the preservation of the ferroalloy industry in the United States.,1,200.0,0.0,0.0,99-HR-976,1985,99
1.0,A bill to amend the Internal Revenue Code of 1954 to raise needed additional revenues by repealing certain provisions relating to the allowance for depreciation.,1,100.0,0.0,0.0,93-HR-8282,1973,93
1.0,"To gear the Income tax more closely to an individuals ability to pay. to broaden the Income tax base of Individuals and corporations, and to otherwise reform the Income and estate tax provisions",1,100.0,0.0,0.0,92-HR-15589,1972,92
1.0,"A bill to amend section 62 of the Internal Revenue Code of 1954, to provide that amounts which the taxpayer pays as alimony or separate maintenance shall be deductible from his gross income in determining adjusted gross income.",1,200.0,0.0,0.0,93-HR-4908,1973,93
1.0,To amend the Internal Revenue Code of 1986 to provide that the percentage of completion method of accounting shall not be required to be used with respect to contracts for the manufacture of property if no payments are required to be made before the completion of the manufacture of such property.,1,200.0,0.0,0.0,102-HR-2853,1991,102
1.0,A bill to provide for annual reduction of the public debt limit.,2,100.0,0.0,0.0,85-S-2297,1957,85
1.0,A bill to amend the Internal Revenue Code of 1954 to provide for the application of cash or deferred arrangement rules to money purchase plans.,1,100.0,1.0,0.0,97-HR-4948,1981,97
1.0,"A bill to amend the Internal Revenue Code of 1954 to provide taxpayer relief and simplification of the individual income tax, and for other purposes.",1,200.0,0.0,0.0,97-HR-4821,1981,97
1.0,"A bill to amend the Congressional Budget Act of 1974 to provide for a two year budgeting cycle, to provide for separate and timely consideration each of authorizing legislation, budget resolutions, and appropriations.",1,100.0,0.0,0.0,95-HR-9077,1977,95
1.0,To exempt childrens skis and ski poles from the manufacturers excise tax on sporting goods,1,200.0,0.0,0.0,82-HR-6329,1952,82
1.0,"To amend the Internal Revenue Code with respect to the time of filing income-tax returns, and for other purposes.",1,100.0,0.0,0.0,82-HR-7649,1952,82
1.0,"To amend the Internal Revenue Code of 1954 to extend the head of household benefits, to all unremarried widows and. widowers., and to all, individuals who have attained age 35 and who, have never been married or. who have been separated or divorced for 3 years or more",1,100.0,0.0,0.0,90-HR-14334,1967,90
1.0,To amend the Internal Revenue Code of 1986 to allow nonitemizers a deduction for a portion of their charitable contributions.,1,200.0,0.0,0.0,105-HR-2499,1997,105
1.0,"To make 1 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2013 and 2014.",1,200.0,0.0,0.0,113-HR-56,2013,113
1.0,"To establish a Commission on Tax Policy to study various methods for limiting the taxing, appropriating, spending, and borrowing powers of the Federal Government",1,200.0,0.0,0.0,83-HR-5145,1953,83
1.0,To amend the Internal Revenue Code of 1986 to reform the estate and gift tax.,1,200.0,0.0,0.0,110-HR-6499,2008,110
1.0,To amend the Internal Revenue Code of 1986 to extend certain estate tax provisions and restore and increase the estate tax deduction for certain family-owned business interests.,1,100.0,0.0,0.0,111-H-4015,2009,111
1.0,"To maintain prosperity, to promote full employment, and kill inflation",1,200.0,0.0,0.0,80-HR-4743,1947,80
1.0,To amend title 4 of the United States Code to limit the extent to which States may tax the compensation earned by nonresident telecommuters.,1,200.0,0.0,0.0,110-HR-1360,2007,110
1.0,"To amend the Internal Revenue Code of 1954 so as to provide for scheduled personal and corporate income tax reductions, and for other purposes",1,200.0,0.0,0.0,85-HR-11461,1958,85
1.0,"To amend the Internal Revenue Code of 1986 to repeal the restrictions on retirement savings deductions added by the Tax Reform Act of 1986 and to allow up to a $2,000 deduction for retirement savings for a nonworking spouse.",1,200.0,0.0,0.0,101-HR-682,1989,101
1.0,"To amend the Internal Revenue Code of 1954 to liberalize both the minimum standard deduction, and to increase from $600 to $1,000 the personal income tax exemption of the taxpayer",1,100.0,0.0,0.0,91-HR-9680,1969,91
1.0,To amend the Internal Revenue Code of 1954 to allow a depreciation deduction for the wear and tear of real property used as the taxpayer's principal residence,1,200.0,0.0,0.0,91-HR-8386,1969,91
1.0,"A bill to amend the Internal Revenue Code of 1954 to increase for taxable years beginning after December 31, 1976, the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemptions for dependents, and the additional exemptions for old age and blindness).",1,200.0,0.0,0.0,95-HR-5089,1977,95
1.0,To provide that no interest shall be payable on a refund of corporate income tax where such refund is attributable to a retroactive election made by the taxpayer,1,100.0,0.0,0.0,92-HR-15889,1972,92
1.0,A bill to amend the Internal Revenue Code of 1986 to expand income averaging to include the trade or business of fishing.,2,200.0,0.0,0.0,108-S-1831,2003,108
1.0,"A bill to amend the Internal Revenue Code of 1986 to stimulate economic growth and long-term competitiveness in the United States by providing middle-income tax relief and by stimulating capital investment, and for other purposes.",2,100.0,0.0,0.0,102-S-2159,1992,102
1.0,To establish the Commission on Probabilistic Methods.,1,100.0,0.0,0.0,105-HR-1402,1997,105
1.0,To permit any wage earner to defer payment of a portion of the difference between the income tax imposed For a taxable year beginning in 1964 and the amount deducted and withheld upon his wages during,1,200.0,0.0,0.0,89-HR-4710,1965,89
1.0,To extend to all unmarried individuals the full tax benefits of incomesplitting now enjoyed by married individuals filing joint returns,1,100.0,0.0,0.0,92-HR-8637,1971,92
